"","candidate","votes","fraction_votes","PST045214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214"
"575","Donald Trump",2577,0.407,37196,50.8,96.3,0.4,0.8,0.6,0.1,1.8,2.3,94.3
"577","Hillary Clinton",721,0.592,37196,50.8,96.3,0.4,0.8,0.6,0.1,1.8,2.3,94.3
"580","Donald Trump",770,0.443,11148,51.1,68.3,27.6,1.9,0.5,0,1.6,14.3,56.3
"586","Hillary Clinton",593,0.832,11148,51.1,68.3,27.6,1.9,0.5,0,1.6,14.3,56.3
"587","Donald Trump",172,0.416,5202,49.2,75.7,22,0.5,0.2,0,1.6,3.9,72.3
"591","Hillary Clinton",413,0.45,5202,49.2,75.7,22,0.5,0.2,0,1.6,3.9,72.3
"598","Donald Trump",0,0,27744,50.7,94.5,0.8,1.3,0.9,0.6,2,14.6,81.1
"600","Hillary Clinton",0,0,27744,50.7,94.5,0.8,1.3,0.9,0.6,2,14.6,81.1
"605","Donald Trump",416,0.511,11180,50.8,43.5,54.6,0.5,0.5,0,0.9,5.6,39.2
"607","Hillary Clinton",1370,0.811,11180,50.8,43.5,54.6,0.5,0.5,0,0.9,5.6,39.2
"610","Hillary Clinton",1650,0.752,22576,52.1,73.4,24,0.6,0.7,0,1.4,4.4,69.6
"612","Donald Trump",694,0.264,22576,52.1,73.4,24,0.6,0.7,0,1.4,4.4,69.6
"616","Hillary Clinton",960,0.52,15118,51.1,97.4,0.6,0.4,0.2,0,1.3,1.8,95.7
"617","Donald Trump",339,0.407,15118,51.1,97.4,0.6,0.4,0.2,0,1.3,1.8,95.7
"623","Hillary Clinton",758,0.687,25634,50.7,97,0.5,0.7,0.3,0,1.4,2.6,94.8
"625","Donald Trump",2530,0.368,25634,50.7,97,0.5,0.7,0.3,0,1.4,2.6,94.8
"632","Hillary Clinton",382,0.688,8449,51.1,86.6,11.4,0.5,0.1,0,1.3,2.2,84.7
"633","Donald Trump",503,0.336,8449,51.1,86.6,11.4,0.5,0.1,0,1.3,2.2,84.7
"640","Donald Trump",1149,0.365,23933,52,61.1,36.2,0.5,0.9,0,1.3,2.7,59.4
"641","Hillary Clinton",1008,0.738,23933,52,61.1,36.2,0.5,0.9,0,1.3,2.7,59.4
"643","Hillary Clinton",1755,0.621,21083,50.9,85,11.4,0.8,0.6,0,2.1,4,81.5
"647","Donald Trump",805,0.362,21083,50.9,85,11.4,0.8,0.6,0,2.1,4,81.5
"650","Donald Trump",3429,0.279,102518,51.3,82.2,14.5,0.6,1.1,0.1,1.6,4.7,78
"653","Hillary Clinton",3543,0.64,102518,51.3,82.2,14.5,0.6,1.1,0.1,1.6,4.7,78
"657","Hillary Clinton",1586,0.625,61697,50.7,91.5,1.6,2.5,1.6,0.1,2.8,6.7,85.6
"663","Donald Trump",3392,0.32,61697,50.7,91.5,1.6,2.5,1.6,0.1,2.8,6.7,85.6
"664","Donald Trump",1359,0.444,49548,52.6,45.9,51.8,0.4,0.7,0,1.2,2.3,44.1
"666","Hillary Clinton",3379,0.764,49548,52.6,45.9,51.8,0.4,0.7,0,1.2,2.3,44.1
"674","Donald Trump",972,0.401,17227,51.4,74.9,22.9,0.3,0.5,0,1.3,1.9,73.3
"675","Hillary Clinton",780,0.742,17227,51.4,74.9,22.9,0.3,0.5,0,1.3,1.9,73.3
"679","Donald Trump",163,0.372,7755,51.7,56.4,41.3,0.5,0.2,0,1.5,2.7,54.1
"683","Hillary Clinton",693,0.568,7755,51.7,56.4,41.3,0.5,0.2,0,1.5,2.7,54.1
"685","Donald Trump",234,0.531,12264,53.2,50.1,47.9,0.4,0.4,0.1,1,4.8,46.6
"690","Hillary Clinton",1342,0.686,12264,53.2,50.1,47.9,0.4,0.4,0.1,1,4.8,46.6
"693","Hillary Clinton",1250,0.678,18622,51.2,69.6,28,0.4,0.9,0,1.1,2.9,67
"696","Donald Trump",795,0.366,18622,51.2,69.6,28,0.4,0.9,0,1.1,2.9,67
"700","Donald Trump",5078,0.272,120768,51.1,84.6,11.3,0.7,1.2,0.1,2,4.1,81.1
"705","Hillary Clinton",4077,0.586,120768,51.1,84.6,11.3,0.7,1.2,0.1,2,4.1,81.1
"706","Donald Trump",1229,0.369,17805,50.5,95.2,0.9,1.3,0.9,0.1,1.6,3,92.5
"707","Hillary Clinton",667,0.672,17805,50.5,95.2,0.9,1.3,0.9,0.1,1.6,3,92.5
"717","Donald Trump",651,0.47,12125,50.5,96.8,0.6,0.7,0.3,0,1.6,1.2,95.8
"719","Hillary Clinton",701,0.554,12125,50.5,96.8,0.6,0.7,0.3,0,1.6,1.2,95.8
"720","Donald Trump",5538,0.352,97322,51.7,87.7,8.5,0.7,0.8,0.1,2.3,5.3,82.9
"721","Hillary Clinton",4057,0.687,97322,51.7,87.7,8.5,0.7,0.8,0.1,2.3,5.3,82.9
"731","Donald Trump",1010,0.312,18144,50.3,94.8,2.8,0.5,0.4,0,1.4,2.6,92.7
"733","Hillary Clinton",690,0.663,18144,50.3,94.8,2.8,0.5,0.4,0,1.4,2.6,92.7
"737","Donald Trump",2103,0.351,43694,50.8,96.9,0.9,0.5,0.3,0,1.4,2.7,94.5
"738","Hillary Clinton",1236,0.655,43694,50.8,96.9,0.9,0.5,0.3,0,1.4,2.7,94.5
"742","Donald Trump",821,0.339,22327,51.6,66.8,29.9,0.7,0.5,0.1,1.9,12.6,55.3
"745","Hillary Clinton",786,0.795,22327,51.6,66.8,29.9,0.7,0.5,0.1,1.9,12.6,55.3
"749","Donald Trump",1597,0.373,33368,48.1,85.6,11.6,0.6,0.4,0.1,1.8,3.3,82.7
